cycle,cage_id,plant_id,cultivar,aphid_treatment,watering_treatment,day,gwc,mV,primary_tillers,secondary_tillers,total_tillers,leaf_no_ms,dev_stage,MS_nodes,stems_with_nodes,plant_height_cm,SPAD,whole_plant_aphids,tiller_1_aphids,tiller_2_aphids,any_dead,aphid_count,log_aphid_count,root ,shoot ,ratio 
2,A,Right_A,bere,no,w,25,145.0636,648,8,8,16,4,33,3,4,19,34.6,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
2,A,Right_A,bere,no,w,31,139.416,620,10,12,22,5,33,3,4,24,31.8,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
2,B,Right_B,bere,no,d,0,NA,NA,4,4,8,4,28,0,0,14,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
2,B,Right_B,bere,no,d,3,45.6255,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
2,B,Right_B,bere,no,d,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
2,B,Right_B,bere,no,d,11,33.3218,94,4,6,10,4,32,2,3,25,45.3,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
2,B,Right_B,bere,no,d,18,26.464,60,4,5,9,5,33,3,5,16,46.9,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
2,B,Right_B,bere,no,d,25,26.8674,62,4,3,7,5,33,3,5,34,49.5,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
2,B,Right_B,bere,no,d,31,26.8674,62,5,3,8,6,34,4,5,45,54.6,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
2,C,Right_C,bere,no,w,0,NA,NA,3,5,8,3,31,1,1,13,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
2,C,Right_C,bere,no,w,3,111.178,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
2,C,Right_C,bere,no,w,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
2,C,Right_C,bere,no,w,11,108.7576,468,5,5,10,4,31,1,2,20,36.1,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
2,C,Right_C,bere,no,w,18,98.6726,418,6,7,13,3,32,2,4,19,34.7,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
2,C,Right_C,bere,no,w,25,130.1378,574,5,6,11,5,32,2,2,27,34.1,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
2,C,Right_C,bere,no,w,31,124.0868,544,6,9,15,4,33,3,4,30,34.7,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
2,D,Right_D,bere,no,d,0,NA,NA,2,3,5,3,25,0,0,10,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
2,D,Right_D,bere,no,d,3,53.8952,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
2,D,Right_D,bere,no,d,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
2,D,Right_D,bere,no,d,11,47.6425,165,4,5,9,5,32,2,4,28,39.8,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
2,D,Right_D,bere,no,d,18,50.668,180,5,4,9,6,33,3,3,39,39.3,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
2,D,Right_D,bere,no,d,25,45.0204,152,5,4,9,5,34,4,4,34,38,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
2,D,Right_D,bere,no,d,31,36.549,110,4,6,10,5,34,4,7,39,39.6,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
2,E,Right_E,bere,aphids,w,0,NA,NA,3,5,8,3,31,1,1,15,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
2,E,Right_E,bere,aphids,w,3,110.3712,476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
2,E,Right_E,bere,aphids,w,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,FALSE,7,1.945910149,NA,NA,NA
2,E,Right_E,bere,aphids,w,11,110.3712,476,5,6,11,3,32,2,2,17,36.9,34,NA,NA,FALSE,34,3.526360525,NA,NA,NA
2,E,Right_E,bere,aphids,w,18,111.5814,482,7,10,17,4,32,2,4,15,33.4,NA,55,50,FALSE,105,4.65396035,NA,NA,NA
2,E,Right_E,bere,aphids,w,25,107.144,460,5,8,13,4,32,2,6,19,32.3,NA,247,251,FALSE,498,6.210600077,NA,NA,NA
2,E,Right_E,bere,aphids,w,31,111.3797,481,9,8,17,4,32,2,6,19,31.1,NA,221,383,FALSE,604,6.403574198,NA,NA,NA
2,F,Right_F,bere,aphids,d,0,NA,NA,3,3,6,4,25,0,0,12,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
2,F,Right_F,bere,aphids,d,3,70.0312,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
2,F,Right_F,bere,aphids,d,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,FALSE,11,2.397895273,NA,NA,NA
2,F,Right_F,bere,aphids,d,11,61.3581,233,4,1,5,3,25,0,0,11,35.3,78,NA,NA,FALSE,78,4.356708827,NA,NA,NA
2,F,Right_F,bere,aphids,d,18,56.1139,207,5,5,10,4,29,0,0,15,33.3,NA,46,47,FALSE,93,4.532599493,NA,NA,NA
2,F,Right_F,bere,aphids,d,25,47.4408,164,5,5,10,4,29,0,0,13,32.8,NA,250,78,FALSE,328,5.793013608,NA,NA,NA
2,F,Right_F,bere,aphids,d,31,41.3898,134,5,5,10,4,29,0,0,13,27.3,NA,163,248,FALSE,411,6.018593214,NA,NA,NA
2,G,Right_G,bere,aphids,w,0,NA,NA,3,4,7,4,31,1,1,14,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
2,G,Right_G,bere,aphids,w,3,61.9632,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
2,G,Right_G,bere,aphids,w,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,FALSE,8,2.079441542,NA,NA,NA
2,G,Right_G,bere,aphids,w,11,40.9864,132,6,9,15,5,32,2,3,29,39.1,91,NA,NA,FALSE,91,4.510859507,NA,NA,NA
2,G,Right_G,bere,aphids,w,18,30.6997,81,8,7,15,5,32,2,7,24,40.4,NA,91,160,FALSE,251,5.525452939,NA,NA,NA
2,G,Right_G,bere,aphids,w,25,37.5575,115,9,9,18,6,33,3,5,26,32.4,NA,858,499,FALSE,1357,7.21303166,NA,NA,NA
2,G,Right_G,bere,aphids,w,31,32.515,90,7,6,13,6,34,4,9,33,28.7,NA,877,569,FALSE,1446,7.276556403,NA,NA,NA
2,H,Right_H,bere,aphids,d,0,NA,NA,3,3,6,3,31,1,1,14,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
2,H,Right_H,bere,aphids,d,3,57.9292,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
2,H,Right_H,bere,aphids,d,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,FALSE,8,2.079441542,NA,NA,NA
2,H,Right_H,bere,aphids,d,11,43.6085,145,5,5,10,4,33,3,4,22,41,80,NA,NA,FALSE,80,4.382026635,NA,NA,NA
2,H,Right_H,bere,aphids,d,18,39.7762,126,5,7,12,4,33,3,4,31,37.5,NA,192,48,FALSE,240,5.480638923,NA,NA,NA
2,H,Right_H,bere,aphids,d,25,33.1201,93,6,8,14,4,33,3,5,31,32.6,NA,666,274,FALSE,940,6.845879875,NA,NA,NA
2,H,Right_H,bere,aphids,d,31,28.8844,72,5,6,11,4,33,3,5,31,28.8,NA,468,374,FALSE,842,6.735780014,NA,NA,NA
1,A,Left_A,bere,no,w,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.333333333
1,A,Right_A,bere,no,d,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21,2.5,0.484
1,B,Left_B,bere,no,w,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72,1.98,0.363636364
1,B,Right_B,bere,no,d,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,1.68,0.238095238
1,C,Left_C,laureate,no,w,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78,6.49,0.274268105
1,C,Right_C,laureate,no,d,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55,4.96,0.3125
1,D,Left_D,laureate,no,w,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,7.18,0.208913649
1,D,Right_D,laureate,no,d,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.97,5.92,0.33277027
1,E,Left_E,laureate,aphids ,w,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,2.92,0.260273973
1,E,Right_E,laureate,aphids ,d,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94,2.83,0.332155477
1,F,Left_F,bere,aphids ,w,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,2.42,0.061983471
1,F,Right_F,bere,aphids ,d,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,2.42,0.103305785
1,G,Left_G,laureate,aphids ,w,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49,3.36,0.145833333
1,G,Right_G,laureate,aphids ,d,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,2.88,0.114583333
1,H,Left_H,bere,aphids ,w,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,1.89,0.100529101
1,H,Right_H,bere,aphids ,d,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,1.72,0.168604651
2,A,Left_A,laureate ,no,w,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,5.06,0.065217391
2,A,Right_A,bere,no,w,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,4.09,0.073349633
2,B,Left_B,laureate ,no,d,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.64,3.94,0.162436548
2,B,Right_B,bere,no,d,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69,5.36,0.128731343
2,C,Left_C,laureate ,no,w,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,4.55,0.09010989
2,C,Right_C,bere,no,w,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,3.19,0.02507837
2,D,Left_D,laureate ,no,d,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21,5.56,0.217625899
2,D,Right_D,bere,no,d,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,3.02,0.122516556
2,E,Left_E,laureate ,aphids,w,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,3.33,0.102102102
2,E,Right_E,bere,aphids,w,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,2.91,0.075601375
2,F,Left_F,laureate ,aphids,d,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,3.48,0.163793103
2,F,Right_F,bere,aphids,d,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,1.56,0.121794872
2,G,Left_G,laureate ,aphids,w,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,2.08,0.120192308
2,G,Right_G,bere,aphids,w,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,4.44,0.105855856
2,H,Left_H,laureate ,aphids,d,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,2.57,0.128404669
2,H,Right_H,bere,aphids,d,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,2.26,0.084070796
